image,prediction,confidence,fake_probability,real_probability
1.jpg,FAKE,0.96706,0.96706,0.03294
10.png,FAKE,0.997808,0.997808,0.002192
11.png,FAKE,0.99998,0.99998,2e-05
12.jpg,FAKE,0.999091,0.999091,0.000909
13.png,FAKE,0.999121,0.999121,0.000879
14.png,FAKE,1.0,1.0,0.0
15.png,FAKE,0.999992,0.999992,8e-06
16.png,FAKE,1.0,1.0,0.0
17.png,FAKE,0.698035,0.698035,0.301964
18.png,FAKE,1.0,1.0,0.0
2.jpg,FAKE,0.975697,0.975697,0.024303
3.jpg,FAKE,0.886829,0.886829,0.113171
4.jpg,REAL,0.977297,0.022703,0.977297
5.jpg,FAKE,0.911345,0.911345,0.088655
6.jpg,FAKE,0.999486,0.999486,0.000514
7.jpg,FAKE,0.718004,0.718004,0.281996
8.jpg,FAKE,0.999969,0.999969,3.1e-05
9.jpg,FAKE,0.999994,0.999994,6e-06
