image,prediction,confidence,fake_probability,real_probability,model1_global_probability,model2_patch_probability
1.jpg,FAKE,0.714786,0.714786,0.285214,0.089823,0.96706
10.png,FAKE,0.998438,0.998438,0.001562,1.0,0.997808
11.png,FAKE,0.990838,0.990838,0.009162,0.968189,0.99998
12.jpg,FAKE,0.712877,0.712877,0.287123,0.003832,0.999091
13.png,FAKE,0.999372,0.999372,0.000628,0.999994,0.999121
14.png,FAKE,0.999947,0.999947,5.3e-05,0.999816,1.0
15.png,FAKE,0.999994,0.999994,6e-06,1.0,0.999992
16.png,FAKE,0.999999,0.999999,1e-06,0.999995,1.0
17.png,FAKE,0.549412,0.549412,0.450588,0.181223,0.698035
18.png,FAKE,0.999998,0.999998,2e-06,0.999993,1.0
2.jpg,FAKE,0.834823,0.834823,0.165177,0.485834,0.975697
3.jpg,FAKE,0.747065,0.747065,0.252935,0.400824,0.886829
4.jpg,REAL,0.867217,0.132783,0.867217,0.594513,0.977297
5.jpg,FAKE,0.669225,0.669225,0.330775,0.069417,0.911345
6.jpg,FAKE,0.999333,0.999333,0.000667,0.998953,0.999486
7.jpg,FAKE,0.799029,0.799029,0.200971,0.999754,0.718004
8.jpg,FAKE,0.999978,0.999978,2.2e-05,1.0,0.999969
9.jpg,FAKE,0.999222,0.999222,0.000778,0.997311,0.999994
